0,51958
0,103723
0,177005
0,128113
0,143214
0,179623
0,131023
0,137206
0,190771
0,97032
0,89626
0,66751
0,58416
0,124858
0,60438
0,51112
0,176325
0,163891
0,36169
0,165070
0,43115
0,121623
0,65617
0,136098
0,60918
0,112555
0,170590
0,209854
0,158861
0,48049
0,55466
0,205478
0,205635
0,184166
0,111492
0,140183
0,72346
0,154523
0,22806
0,177058
0,88796
0,11035
0,18209
0,92280
0,58252
0,212455
0,163897
0,14939
0,28321
0,181161
0,113868
0,20691
0,198023
0,54835
0,113771
0,56504
0,18395
0,119992
0,3411
0,190365
0,27504
0,172157
0,187104
0,153778
0,205689
0,207537
0,176802
0,131203
0,44757
0,216262
0,100584
0,105832
0,112754
0,50534
0,34527
0,58182
0,59426
0,184281
0,190197
0,155246
0,47789
0,13117
0,18355
0,88752
0,10054
0,51762
0,130386
0,220458
0,169233
0,46144
0,28686
0,92816
0,175531
0,22047
0,179350
0,151962
0,126830
0,188484
0,165358
0,119209
1,84891
1,166894
1,158962
1,46553
1,90872
1,68896
1,17206
1,93337
1,206089
1,20876
1,126039
1,131460
1,137054
1,138901
1,181679
1,179634
1,14199
1,35780
1,35354
1,155537
1,89246
1,161881
1,99926
1,22725
1,139635
1,39065
1,7536
1,130092
1,179161
1,48701
1,112788
1,158528
1,28400
1,200726
1,107153
1,211926
1,215206
1,29615
1,48642
1,27483
1,417
1,44271
1,76887
1,26872
1,73514
1,130517
1,57780
1,43534
1,136161
1,133430
1,9890
1,70206
1,127480
1,186594
1,112650
1,162453
1,80223
1,75748
1,119218
1,14395
1,64264
1,45935
1,176270
1,109210
1,67639
1,151747
1,104767
1,2392
1,190146
1,27585
1,104946
1,69680
1,191917
1,201923
1,24387
1,29743
1,134028
1,146205
1,95268
1,120546
1,24208
1,127862
1,8632
1,42887
1,219404
1,110499
1,123438
1,116580
1,1157
1,29214
1,201266
1,102086
1,172878
1,113697
1,41112
1,27615
1,163389
1,97187
1,57799
1,192420
2,49814
2,219013
2,16944
2,24734
2,96270
2,133716
2,23450
2,47765
2,85583
2,171830
2,117223
2,171501
2,19957
2,54998
2,136057
2,53728
2,177185
2,197408
2,162819
2,99543
2,137459
2,140927
2,184346
2,185319
2,66991
2,169725
2,76042
2,200531
2,77570
2,154428
2,180474
2,187180
2,3156
2,40162
2,75341
2,135897
2,170409
2,64458
2,158056
2,85724
2,210053
2,75990
2,79022
2,199777
2,132391
2,140757
2,86096
2,100001
2,95064
2,195081
2,189728
2,118662
2,104970
2,21411
2,120830
2,127669
2,179034
2,133941
2,110008
2,125751
2,147053
2,14007
2,73615
2,34652
2,196258
2,173094
2,113004
2,183018
2,144553
2,130091
2,132654
2,84079
2,137401
2,185787
2,57670
2,4089
2,93410
2,102103
2,8910
2,189320
2,174260
2,127853
2,127446
2,170393
2,136132
2,44522
2,125417
2,152801
2,29176
2,129874
2,76969
2,165028
2,169171
2,2706
2,144589
2,56789
2,214028
2,36842
2,219479
2,34849
3,73265
3,194653
3,204062
3,86920
3,156351
3,31055
3,141504
3,192564
3,132769
3,147901
3,44963
3,300
3,104580
3,105726
3,45578
